[Mon Jan 17 01:27:23.271772 2022] [:error] [pid 27488:tid 1316] [client ::1:61500] PHP Warning:  imagejpeg() expects parameter 1 to be resource, object given in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 41
[Mon Jan 17 01:27:23.271772 2022] [:error] [pid 27488:tid 1316] [client ::1:61500] PHP Catchable fatal error:  Object of class mysqli_result could not be converted to string in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 43
[Mon Jan 17 01:29:46.546367 2022] [:error] [pid 27488:tid 1316] [client ::1:51781] PHP Warning:  mysql_fetch_assoc() expects parameter 1 to be resource, object given in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 42
[Mon Jan 17 01:29:46.547364 2022] [:error] [pid 27488:tid 1316] [client ::1:51781] PHP Notice:  Undefined variable: foto in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 57
[Mon Jan 17 01:29:46.547364 2022] [:error] [pid 27488:tid 1316] [client ::1:51781] PHP Notice:  Undefined variable: foto in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 63
[Mon Jan 17 01:30:37.250081 2022] [:error] [pid 27488:tid 1316] [client ::1:51786] PHP Warning:  mysql_fetch_assoc() expects parameter 1 to be resource, object given in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 42
[Mon Jan 17 01:30:37.250081 2022] [:error] [pid 27488:tid 1316] [client ::1:51786] PHP Notice:  Undefined variable: foto in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 57
[Mon Jan 17 01:30:37.250081 2022] [:error] [pid 27488:tid 1316] [client ::1:51786] PHP Notice:  Undefined variable: foto in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 63
[Mon Jan 17 01:31:44.957578 2022] [:error] [pid 27488:tid 1316] [client ::1:51802] PHP Warning:  mysql_fetch_assoc() expects parameter 1 to be resource, object given in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 42
[Mon Jan 17 01:31:44.957578 2022] [:error] [pid 27488:tid 1316] [client ::1:51802] PHP Notice:  Undefined variable: foto in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 47
[Mon Jan 17 01:31:44.957578 2022] [:error] [pid 27488:tid 1316] [client ::1:51802] PHP Notice:  Undefined variable: foto in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 53
[Mon Jan 17 01:39:12.858204 2022] [:error] [pid 27488:tid 1316] [client ::1:51829] PHP Catchable fatal error:  Object of class mysqli_result could not be converted to string in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 43
[Mon Jan 17 01:39:21.379194 2022] [:error] [pid 27488:tid 1316] [client ::1:51831] PHP Catchable fatal error:  Object of class mysqli_result could not be converted to string in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 47
[Mon Jan 17 01:45:00.256808 2022] [:error] [pid 27488:tid 1316] [client ::1:51888] PHP Catchable fatal error:  Object of class mysqli_result could not be converted to string in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 47
[Mon Jan 17 01:45:30.185375 2022] [:error] [pid 27488:tid 1316] [client ::1:51891] PHP Catchable fatal error:  Object of class mysqli_result could not be converted to string in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 47
[Mon Jan 17 01:45:31.502133 2022] [:error] [pid 27488:tid 1316] [client ::1:51891] PHP Catchable fatal error:  Object of class mysqli_result could not be converted to string in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\home.php on line 47
[Mon Jan 17 01:49:24.395180 2022] [:error] [pid 27488:tid 1316] [client ::1:51919] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 24, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 01:50:03.436473 2022] [:error] [pid 27488:tid 1316] [client ::1:51929] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 24, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 01:50:54.259221 2022] [:error] [pid 27488:tid 1316] [client ::1:51951] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 24, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 04:27:15.992896 2022] [:error] [pid 27488:tid 1312] [client ::1:56134] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 31, referer: http://localhost:8080/adicionarplanta.php
[Mon Jan 17 04:27:46.707591 2022] [:error] [pid 27488:tid 1312] [client ::1:56140] PHP Notice:  Undefined variable: planta in C:\\Users\\Jessi\\Git\\PlantoterapiaSite\\USBWebserver\\root\\adicionarplanta.php on line 31, referer: http://localhost:8080/adicionarplanta.php
